,lead,phase2,phase3,closed
4754,2015-09-14,2015-10-15,2015-11-05,2015-11-21
4755,2015-09-15,2015-11-21,2015-12-08,2015-12-08
4756,2015-09-16,2015-11-16,2015-12-08,2015-12-15
4757,2015-09-17,,,
4758,2015-09-20,2015-10-04,2015-10-06,2015-10-06
4759,2015-09-21,2015-11-23,2015-12-16,2015-12-29
4760,2015-09-23,2015-11-04,2015-11-17,2015-11-17
4761,2015-09-24,2015-10-28,2015-11-12,2015-11-12
4762,2015-09-26,2015-11-27,2016-01-02,2016-01-03
4763,2015-09-27,,,
4764,2015-09-28,2015-11-05,2015-11-19,2015-11-19
4765,2015-09-30,2015-10-13,2015-11-05,2015-11-05
4766,2015-10-01,2015-10-31,2015-11-01,2015-11-13
4767,2015-10-02,,,
4768,2015-10-03,2015-10-26,2015-12-01,2015-12-01
4769,2015-10-06,2015-10-26,2015-10-26,2015-10-26
4770,2015-10-07,,,
4771,2015-10-08,2015-10-17,2015-11-13,2015-11-13
4772,2015-10-10,,,
4773,2015-10-11,2015-12-09,2015-12-09,2015-12-09
4774,2015-10-12,2015-11-23,2015-12-24,2016-01-02
4775,2015-10-13,,,
4776,2015-10-14,2015-12-03,2015-12-13,2015-12-13
4777,2015-10-16,,,
4778,2015-10-18,2015-12-08,2015-12-08,2015-12-08
4779,2015-10-19,2015-11-24,2015-12-24,2016-01-08
4780,2015-10-20,2015-11-30,2015-12-01,2015-12-01
4781,2015-10-21,2015-11-30,2016-01-02,2016-01-02
4782,2015-10-22,2015-12-21,2016-01-22,2016-01-22
4783,2015-10-23,,,
4784,2015-10-24,2015-12-14,2015-12-14,2015-12-14
4785,2015-10-25,2015-11-03,2015-11-18,2015-11-18
4786,2015-10-26,2015-10-27,2015-11-22,2015-12-17
4787,2015-10-28,2015-12-02,2015-12-12,2015-12-12
4788,2015-10-29,,,
4789,2015-10-30,,,
4790,2015-10-31,2015-12-08,2015-12-10,2016-01-02
4791,2015-11-01,2015-12-10,2015-12-23,2015-12-23
4792,2015-11-02,2015-12-28,2016-01-11,2016-01-11
4793,2015-11-03,2015-12-25,2016-01-04,2016-01-23
4794,2015-11-04,,,
4795,2015-11-05,,,
4796,2015-11-06,2016-01-24,2016-02-10,2016-03-03
4797,2015-11-08,2015-12-09,2015-12-09,2015-12-09
4798,2015-11-09,2016-01-04,2016-01-20,2016-01-20
4799,2015-11-11,2015-12-25,2015-12-25,2015-12-25
4800,2015-11-12,,,
4801,2015-11-14,2015-12-10,2016-01-02,2016-01-02
4802,2015-11-16,2015-11-23,2015-11-24,2015-12-13
4803,2015-11-17,,,
4804,2015-11-18,2015-12-19,2016-01-03,2016-01-03
4805,2015-11-19,,,
4806,2015-11-20,,,
4807,2015-11-21,2016-01-12,2016-01-23,2016-01-23
4808,2015-11-22,,,
4809,2015-11-23,2016-01-05,2016-02-07,2016-02-07
4810,2015-11-24,,,
4811,2015-11-25,,,
4812,2015-11-26,2015-12-21,2015-12-21,2015-12-21
4813,2015-11-27,,,
4814,2015-11-28,2015-12-31,2016-01-10,2016-01-31
4815,2015-11-29,2015-12-08,2016-01-01,2016-01-17
4816,2015-11-30,2016-01-27,2016-02-13,2016-02-28
4817,2015-12-01,2016-01-03,2016-01-28,2016-02-09
4818,2015-12-02,,,
4819,2015-12-03,2016-01-18,2016-02-18,2016-02-18
4820,2015-12-04,2016-01-10,2016-01-26,2016-01-29
4821,2015-12-05,,,
4822,2015-12-08,2016-01-07,2016-01-23,2016-01-23
4823,2015-12-09,2016-01-11,2016-02-01,2016-02-01
4824,2015-12-10,,,
4825,2015-12-11,,,
4826,2015-12-12,2016-01-23,2016-02-16,2016-03-19
4827,2015-12-13,2016-01-04,2016-01-27,2016-01-28
4828,2015-12-14,,,
4829,2015-12-16,,,
4830,2015-12-17,,,
4831,2015-12-18,2016-01-21,2016-02-09,2016-02-09
4832,2015-12-19,2016-01-17,2016-02-16,2016-02-16
4833,2015-12-21,2016-02-24,2016-02-28,2016-02-28
4834,2015-12-22,2016-01-21,2016-01-21,2016-01-21
4835,2015-12-25,,,
4836,2015-12-26,2016-01-24,2016-01-25,2016-02-20
4837,2015-12-27,2016-01-17,2016-02-03,2016-02-17
4838,2015-12-28,2016-02-26,2016-02-26,2016-02-26
4839,2015-12-30,2016-01-19,2016-01-28,2016-01-28
4840,2015-12-31,2016-01-22,2016-02-14,2016-02-14
4841,2016-01-02,2016-02-01,2016-02-24,2016-02-24
4842,2016-01-03,,,
4843,2016-01-04,,,
4844,2016-01-05,,,
4845,2016-01-06,,,
4846,2016-01-08,,,
4847,2016-01-10,2016-02-02,2016-02-02,2016-02-02
4848,2016-01-11,2016-02-27,2016-03-14,2016-03-14
4849,2016-01-14,2016-02-28,2016-03-08,2016-03-31
4850,2016-01-15,,,
4851,2016-01-16,2016-02-10,2016-02-29,2016-02-29
4852,2016-01-17,2016-03-02,2016-03-28,2016-03-30
4853,2016-01-18,,,
4854,2016-01-21,,,
4855,2016-01-22,,,
4856,2016-01-23,2016-02-28,2016-03-14,2016-03-14
4857,2016-01-24,,,
4858,2016-01-25,,,
4859,2016-01-28,2016-02-28,2016-03-18,2016-04-03
4860,2016-01-29,2016-03-13,2016-04-16,2016-04-16
4861,2016-02-02,2016-02-21,2016-03-09,2016-03-21
4862,2016-02-03,2016-03-11,2016-03-11,2016-03-11
4863,2016-02-05,2016-02-25,2016-03-16,2016-03-16
4864,2016-02-06,2016-03-04,2016-03-24,2016-04-01
4865,2016-02-07,2016-02-17,2016-02-17,2016-02-17
4866,2016-02-08,2016-03-27,2016-03-27,2016-03-27
4867,2016-02-11,2016-03-31,2016-04-27,2016-05-12
4868,2016-02-12,2016-04-01,2016-04-13,2016-04-13
4869,2016-02-14,2016-03-12,2016-03-12,2016-03-12
4870,2016-02-15,2016-03-07,2016-03-23,2016-03-23
4871,2016-02-16,,,
4872,2016-02-17,,,
4873,2016-02-18,2016-02-27,2016-03-19,2016-04-08
4874,2016-02-19,2016-04-01,2016-05-18,2016-05-18
4875,2016-02-20,2016-03-24,2016-04-17,2016-04-24
4876,2016-02-21,2016-04-09,2016-05-07,2016-05-23
4877,2016-02-22,2016-03-18,2016-05-02,2016-05-28
4878,2016-02-24,2016-03-07,2016-04-10,2016-04-10
4879,2016-02-28,2016-04-14,2016-05-13,2016-05-13
4880,2016-02-29,2016-04-05,2016-04-25,2016-04-25
4881,2016-03-01,2016-04-20,2016-04-30,2016-05-23
4882,2016-03-02,,,
4883,2016-03-03,2016-04-11,2016-04-19,2016-05-05
4884,2016-03-04,,,
4885,2016-03-05,2016-04-15,2016-05-12,2016-05-12
4886,2016-03-06,2016-04-02,2016-04-21,2016-04-21
4887,2016-03-07,2016-04-04,2016-04-04,2016-04-04
4888,2016-03-08,2016-04-10,2016-05-04,2016-05-16
4889,2016-03-10,2016-04-12,2016-05-03,2016-05-22
4890,2016-03-11,2016-04-15,2016-05-12,2016-05-12
4891,2016-03-13,,,
4892,2016-03-14,2016-04-17,2016-04-17,2016-04-17
4893,2016-03-15,2016-04-12,2016-05-11,2016-05-11
4894,2016-03-16,,,
4895,2016-03-17,,,
4896,2016-03-19,2016-03-29,2016-04-23,2016-04-23
4897,2016-03-20,2016-04-19,2016-05-16,2016-05-16
4898,2016-03-21,2016-04-16,2016-05-18,2016-05-18
4899,2016-03-22,2016-04-29,2016-05-15,2016-06-08
4900,2016-03-24,,,
4901,2016-03-25,2016-04-21,2016-05-10,2016-05-20
4902,2016-03-26,,,
4903,2016-03-27,,,
4904,2016-03-28,2016-04-13,2016-05-07,2016-05-21
4905,2016-03-29,2016-05-19,2016-06-09,
4906,2016-03-30,2016-05-05,2016-06-12,
4907,2016-03-31,2016-05-17,2016-06-03,
4908,2016-04-01,,,
4909,2016-04-02,2016-05-13,2016-05-13,2016-05-13
4910,2016-04-03,2016-05-13,2016-05-13,2016-05-13
4911,2016-04-04,,,
4912,2016-04-06,2016-05-22,2016-05-22,2016-05-22
4913,2016-04-07,2016-05-23,2016-05-23,2016-05-23
4914,2016-04-08,2016-05-15,2016-06-04,2016-06-04
4915,2016-04-10,2016-05-01,2016-05-23,2016-05-23
4916,2016-04-11,2016-05-22,,
4917,2016-04-13,2016-05-12,2016-06-06,
4918,2016-04-14,2016-05-02,2016-05-23,2016-05-23
4919,2016-04-15,2016-05-31,,
4920,2016-04-17,2016-05-24,2016-06-08,
4921,2016-04-18,2016-05-03,2016-06-05,
4922,2016-04-19,2016-05-30,,
4923,2016-04-20,,,
4924,2016-04-21,2016-06-09,,
4925,2016-04-23,,,
4926,2016-04-24,,,
4927,2016-04-25,2016-05-27,,
4928,2016-04-26,,,
4929,2016-04-27,2016-05-31,,
4930,2016-04-29,2016-05-16,2016-05-16,2016-05-16
4931,2016-04-30,,,
4932,2016-05-01,2016-05-18,,
4933,2016-05-02,2016-06-06,,
4934,2016-05-03,,,
4935,2016-05-04,,,
4936,2016-05-05,,,
4937,2016-05-07,,,
4938,2016-05-08,,,
4939,2016-05-09,,,
4940,2016-05-10,2016-05-16,,
4941,2016-05-11,2016-06-02,,
4942,2016-05-12,2016-06-03,,
4943,2016-05-14,2016-05-27,,
4944,2016-05-15,,,
4945,2016-05-16,,,
4946,2016-05-17,2016-06-11,,
4947,2016-05-18,2016-06-12,2016-06-13,2016-06-13
4948,2016-05-19,,,
4949,2016-05-20,,,
4950,2016-05-21,2016-06-09,,
4951,2016-05-22,,,
4952,2016-05-23,,,
4953,2016-05-24,,,
4954,2016-05-25,2016-06-15,,
4955,2016-05-26,,,
4956,2016-05-29,,,
4957,2016-05-31,,,
4958,2016-06-02,,,
4959,2016-06-03,,,
4960,2016-06-04,,,
4961,2016-06-05,,,
4962,2016-06-06,,,
4963,2016-06-07,,,
4964,2016-06-08,,,
4965,2016-06-09,,,
4966,2016-06-11,,,
4967,2016-06-12,,,
4968,2016-06-13,,,
4969,2016-06-14,,,
4970,2016-06-15,,,
4971,2015-06-17,2015-08-13,2015-08-31,2015-08-31
4972,2015-06-18,,,
4973,2015-06-19,2015-07-25,2015-08-22,2015-08-22
4974,2015-06-20,2015-07-30,2015-07-30,2015-07-30
4975,2015-06-22,2015-09-10,2015-09-10,2015-09-10
4976,2015-06-23,2015-06-24,2015-07-14,2015-07-14
4977,2015-06-24,2015-07-23,2015-08-15,2015-08-15
4978,2015-06-25,2015-07-03,2015-07-29,2015-07-29
4979,2015-06-27,2015-08-17,2015-08-17,2015-08-17
4980,2015-06-28,2015-07-29,2015-08-18,2015-08-18
4981,2015-06-30,2015-08-17,2015-08-31,2015-08-31
4982,2015-07-01,2015-08-13,2015-09-10,2015-09-10
4983,2015-07-02,,,
4984,2015-07-03,2015-08-19,2015-08-19,2015-08-19
4985,2015-07-04,,,
4986,2015-07-05,2015-07-09,2015-07-17,2015-07-17
4987,2015-07-06,2015-09-05,2015-09-27,2015-10-28
4988,2015-07-07,2015-08-10,2015-08-10,2015-08-10
4989,2015-07-08,,,
4990,2015-07-09,2015-08-23,2015-09-08,2015-09-08
4991,2015-07-10,2015-08-29,2015-09-26,2015-10-02
4992,2015-07-11,2015-08-25,2015-09-25,2015-09-25
4993,2015-07-12,2015-08-25,2015-09-28,2015-10-11
4994,2015-07-13,2015-08-20,2015-09-19,2015-09-19
4995,2015-07-14,,,
4996,2015-07-15,,,
4997,2015-07-16,2015-09-21,2015-10-16,2015-10-28
4998,2015-07-17,2015-08-30,2015-09-25,2015-09-25
4999,2015-07-18,2015-08-30,2015-09-17,2015-09-17
5000,2015-07-19,2015-08-27,2015-08-27,2015-08-27
5001,2015-07-20,2015-08-11,2015-08-22,2015-08-22
5002,2015-07-21,2015-08-30,2015-09-06,2015-09-06
5003,2015-07-22,2015-09-13,2015-10-17,2015-10-17
5004,2015-07-25,,,
5005,2015-07-27,2015-08-23,2015-08-23,2015-08-23
5006,2015-07-28,,,
5007,2015-07-30,,,
5008,2015-07-31,2015-08-25,2015-09-25,2015-09-25
5009,2015-08-01,,,
5010,2015-08-02,2015-08-18,2015-09-11,2015-09-11
5011,2015-08-03,,,
5012,2015-08-04,2015-09-16,2015-09-27,2015-09-27
5013,2015-08-05,,,
5014,2015-08-07,2015-08-24,2015-08-30,2015-08-30
5015,2015-08-08,,,
5016,2015-08-09,,,
5017,2015-08-10,2015-09-29,2015-10-24,2015-11-09
5018,2015-08-11,,,
5019,2015-08-12,2015-09-04,2015-09-04,2015-09-04
5020,2015-08-13,2015-09-25,2015-09-25,2015-09-25
5021,2015-08-14,,,
5022,2015-08-15,,,
5023,2015-08-16,2015-10-02,2015-10-02,2015-10-02
5024,2015-08-18,2015-08-28,2015-08-28,2015-08-28
5025,2015-08-19,,,
5026,2015-08-22,,,
5027,2015-08-23,2015-09-19,2015-09-19,2015-09-19
5028,2015-08-24,2015-10-17,2015-10-20,2015-10-20
5029,2015-08-25,2015-10-10,2015-10-10,2015-10-10
5030,2015-08-26,2015-09-25,2015-10-27,2015-11-10
5031,2015-08-27,2015-09-19,2015-09-23,2015-10-14
5032,2015-08-28,2015-09-15,2015-09-15,2015-09-15
5033,2015-08-29,,,
5034,2015-08-30,,,
5035,2015-08-31,2015-10-18,2015-11-16,2015-12-01
5036,2015-09-01,,,
5037,2015-09-02,,,
5038,2015-09-03,2015-10-21,2015-11-11,2015-11-28
5039,2015-09-04,,,
5040,2015-09-05,,,
5041,2015-09-06,,,
5042,2015-09-07,,,
5043,2015-09-08,2015-09-28,2015-10-19,2015-10-19
5044,2015-09-09,,,
5045,2015-09-12,2015-11-07,2015-11-19,2015-12-14
5046,2015-09-14,2015-10-21,2015-11-30,2015-12-12
5047,2015-09-15,,,
5048,2015-09-16,2015-10-20,2015-10-20,2015-10-20
5049,2015-09-17,2015-10-30,2015-10-30,2015-10-30
5050,2015-09-19,2015-10-12,2015-11-01,2015-11-01
5051,2015-09-20,2015-10-16,2015-11-05,2015-11-05
5052,2015-09-21,2015-10-16,2015-10-17,2015-10-17
5053,2015-09-22,2015-11-08,2015-11-14,2015-11-30
5054,2015-09-23,2015-11-06,2015-12-15,2015-12-15
5055,2015-09-24,,,
5056,2015-09-25,2015-09-30,2015-10-06,2015-10-19
5057,2015-09-26,2015-11-02,2015-11-24,2015-12-13
5058,2015-09-27,,,
5059,2015-09-28,2015-10-19,2015-10-31,2015-10-31
5060,2015-09-29,,,
5061,2015-09-30,,,
5062,2015-10-01,,,
5063,2015-10-03,2015-10-27,2015-11-23,2015-11-23
5064,2015-10-04,,,
5065,2015-10-06,2015-11-23,2015-12-10,2015-12-10
5066,2015-10-07,,,
5067,2015-10-08,2015-11-11,2015-11-25,2015-11-25
5068,2015-10-10,,,
5069,2015-10-12,2015-11-25,2015-12-19,2015-12-29
5070,2015-10-13,2015-11-21,2015-12-15,2015-12-15
5071,2015-10-14,2015-11-23,2015-12-20,2016-01-01
5072,2015-10-15,,,
5073,2015-10-16,2015-11-25,2015-12-22,2016-01-07
5074,2015-10-17,2015-12-04,2015-12-04,2015-12-04
5075,2015-10-18,2015-11-03,2015-11-21,2015-12-10
5076,2015-10-19,2015-11-20,2015-12-12,2015-12-20
5077,2015-10-21,2015-10-26,2015-10-26,2015-10-26
5078,2015-10-22,2015-11-30,2015-12-20,2015-12-20
5079,2015-10-23,,,
5080,2015-10-24,2015-11-20,2015-12-15,2015-12-22
5081,2015-10-25,2015-12-12,2015-12-17,2015-12-17
5082,2015-10-27,,,
5083,2015-10-28,2015-12-04,2015-12-16,2015-12-29
5084,2015-10-29,2015-11-28,2015-12-20,2016-01-04
5085,2015-10-30,2015-12-11,2015-12-20,2015-12-20
5086,2015-10-31,2015-12-05,2015-12-12,2015-12-24
5087,2015-11-01,2015-12-01,2015-12-01,2015-12-01
5088,2015-11-02,2015-11-28,2015-12-18,2015-12-18
5089,2015-11-03,2016-01-04,2016-01-16,2016-02-02
5090,2015-11-04,,,
5091,2015-11-06,,,
5092,2015-11-07,,,
5093,2015-11-08,2015-11-28,2015-11-28,2015-11-28
5094,2015-11-09,2015-12-16,2015-12-27,2015-12-27
5095,2015-11-10,,,
5096,2015-11-11,2015-12-17,2015-12-17,2015-12-17
5097,2015-11-12,2015-12-12,2016-01-03,2016-01-16
5098,2015-11-13,2015-12-22,2016-01-10,2016-01-26
5099,2015-11-14,2015-12-27,2015-12-27,2015-12-27
5100,2015-11-15,2015-11-20,2015-12-21,2015-12-21
5101,2015-11-16,2016-01-02,2016-02-17,2016-02-17
5102,2015-11-17,2015-12-31,2016-01-24,2016-01-24
5103,2015-11-18,2016-01-10,2016-01-21,2016-02-04
5104,2015-11-20,2015-12-15,2015-12-15,2015-12-15
5105,2015-11-21,,,
5106,2015-11-22,2015-12-31,2016-01-20,2016-01-21
5107,2015-11-23,,,
5108,2015-11-24,2016-01-01,2016-01-15,2016-01-29
5109,2015-11-25,2016-01-21,2016-02-02,2016-02-24
5110,2015-11-27,2016-01-11,2016-01-13,2016-01-13
5111,2015-11-29,2015-12-20,2016-01-03,2016-01-15
5112,2015-11-30,,,
5113,2015-12-01,,,
5114,2015-12-03,2015-12-22,2016-01-06,2016-01-06
5115,2015-12-04,,,
5116,2015-12-05,2016-01-08,2016-01-22,2016-01-25
5117,2015-12-06,2016-01-28,2016-01-28,2016-01-28
5118,2015-12-07,,,
5119,2015-12-08,2016-01-07,2016-01-23,2016-01-23
5120,2015-12-09,2016-01-10,2016-02-01,2016-02-01
5121,2015-12-10,,,
5122,2015-12-12,,,
5123,2015-12-13,2015-12-25,2016-01-03,2016-01-03
5124,2015-12-15,2016-01-09,2016-02-02,2016-02-02
5125,2015-12-16,2016-01-21,2016-02-14,2016-02-14
5126,2015-12-17,,,
5127,2015-12-18,,,
5128,2015-12-19,2016-02-27,2016-02-28,2016-02-28
5129,2015-12-20,2016-01-23,2016-02-07,2016-02-07
5130,2015-12-22,2016-01-19,2016-02-01,2016-02-01
5131,2015-12-25,2016-01-19,2016-02-04,2016-02-04
5132,2015-12-26,2016-02-01,2016-02-24,2016-02-24
5133,2015-12-27,,,
5134,2015-12-29,,,
5135,2015-12-31,2016-02-03,2016-02-04,2016-02-04
5136,2016-01-01,2016-02-28,2016-02-29,2016-02-29
5137,2016-01-03,,,
5138,2016-01-04,,,
5139,2016-01-06,,,
5140,2016-01-07,,,
5141,2016-01-09,2016-02-14,2016-03-18,2016-03-19
5142,2016-01-11,,,
5143,2016-01-12,2016-02-08,2016-02-08,2016-02-08
5144,2016-01-15,,,
5145,2016-01-16,2016-02-13,2016-03-10,2016-03-10
5146,2016-01-18,2016-03-04,2016-04-13,2016-04-13
5147,2016-01-19,,,
5148,2016-01-20,2016-02-21,2016-03-30,2016-03-30
5149,2016-01-21,2016-03-05,2016-03-05,2016-03-05
5150,2016-01-22,,,
5151,2016-01-23,,,
5152,2016-01-24,2016-03-29,2016-04-30,2016-05-11
5153,2016-01-25,2016-02-11,2016-03-06,2016-03-13
5154,2016-01-26,,,
5155,2016-01-29,,,
5156,2016-01-30,2016-02-16,2016-03-13,2016-03-29
5157,2016-01-31,2016-04-15,2016-04-15,2016-04-15
5158,2016-02-01,2016-03-08,2016-03-26,2016-03-26
5159,2016-02-03,2016-03-20,2016-04-24,2016-04-24
5160,2016-02-04,,,
5161,2016-02-06,,,
5162,2016-02-07,2016-02-28,2016-03-09,2016-03-09
5163,2016-02-08,,,
5164,2016-02-09,2016-03-18,2016-04-17,2016-04-17
5165,2016-02-10,,,
5166,2016-02-11,2016-02-25,2016-03-26,2016-03-29
5167,2016-02-12,,,
5168,2016-02-13,2016-03-14,2016-04-07,2016-04-25
5169,2016-02-14,2016-02-28,2016-02-28,2016-02-28
5170,2016-02-15,2016-03-14,2016-03-26,2016-04-06
5171,2016-02-16,2016-03-11,2016-04-02,2016-04-02
5172,2016-02-17,2016-02-28,2016-03-13,2016-03-13
5173,2016-02-18,,,
5174,2016-02-19,2016-03-14,2016-04-14,2016-04-30
5175,2016-02-20,2016-03-28,2016-04-19,2016-04-19
5176,2016-02-21,,,
5177,2016-02-22,2016-02-28,2016-02-28,2016-02-28
5178,2016-02-23,2016-04-11,2016-05-13,2016-05-13
5179,2016-02-24,2016-04-04,2016-04-04,2016-04-04
5180,2016-02-25,,,
5181,2016-02-26,,,
5182,2016-02-28,,,
5183,2016-03-01,2016-04-01,2016-05-04,2016-05-04
5184,2016-03-02,2016-04-16,2016-05-18,2016-06-01
5185,2016-03-03,2016-04-06,2016-04-30,2016-05-12
5186,2016-03-04,,,
5187,2016-03-06,,,
5188,2016-03-10,2016-04-18,2016-06-04,2016-06-04
5189,2016-03-11,,,
5190,2016-03-12,,,
5191,2016-03-13,2016-04-08,2016-04-13,2016-05-08
5192,2016-03-15,2016-03-30,2016-05-02,2016-05-02
5193,2016-03-16,2016-04-27,2016-05-26,2016-05-31
5194,2016-03-17,2016-04-05,2016-04-05,2016-04-05
5195,2016-03-18,2016-04-17,2016-05-18,2016-05-18
5196,2016-03-19,2016-04-18,2016-05-16,2016-05-16
5197,2016-03-20,,,
5198,2016-03-21,2016-05-02,,
5199,2016-03-23,2016-04-06,2016-04-06,2016-04-06
5200,2016-03-24,2016-05-07,2016-05-07,2016-05-07
5201,2016-03-25,2016-04-24,2016-05-26,2016-05-26
5202,2016-03-26,2016-04-18,2016-05-30,2016-05-30
5203,2016-03-28,2016-04-07,2016-04-27,2016-05-19
5204,2016-03-30,,,
5205,2016-03-31,,,
5206,2016-04-01,2016-05-02,2016-05-27,2016-06-09
5207,2016-04-02,,,
5208,2016-04-03,,,
5209,2016-04-04,2016-06-03,,
5210,2016-04-06,2016-05-17,2016-06-12,2016-06-12
5211,2016-04-07,2016-05-27,,
5212,2016-04-08,,,
5213,2016-04-09,,,
5214,2016-04-10,2016-05-01,2016-05-25,
5215,2016-04-11,,,
5216,2016-04-13,2016-04-17,2016-05-06,2016-05-06
5217,2016-04-14,2016-04-26,2016-05-15,2016-05-15
5218,2016-04-15,2016-05-19,,
5219,2016-04-16,2016-06-08,,
5220,2016-04-17,2016-05-11,2016-06-06,2016-06-06
5221,2016-04-19,2016-05-22,,
5222,2016-04-21,2016-05-23,,
5223,2016-04-22,2016-05-29,,
5224,2016-04-23,2016-05-17,,
5225,2016-04-24,2016-05-30,,
5226,2016-04-26,2016-05-23,,
5227,2016-04-28,2016-05-30,,
5228,2016-04-29,,,
5229,2016-04-30,,,
5230,2016-05-01,2016-05-20,,
5231,2016-05-02,2016-05-16,2016-06-09,
5232,2016-05-03,,,
5233,2016-05-04,2016-06-09,,
5234,2016-05-05,2016-06-07,2016-06-07,2016-06-07
5235,2016-05-06,2016-06-15,,
5236,2016-05-07,,,
5237,2016-05-08,2016-05-17,2016-06-09,
5238,2016-05-09,,,
5239,2016-05-10,2016-06-13,,
5240,2016-05-11,,,
5241,2016-05-13,2016-06-04,2016-06-04,2016-06-04
5242,2016-05-14,2016-05-30,,
5243,2016-05-15,,,
5244,2016-05-16,,,
5245,2016-05-17,,,
5246,2016-05-18,,,
5247,2016-05-19,,,
5248,2016-05-20,2016-06-14,,
5249,2016-05-21,2016-06-09,,
5250,2016-05-22,,,
5251,2016-05-23,,,
5252,2016-05-24,,,
5253,2016-05-25,,,
5254,2016-05-26,,,
5255,2016-05-27,,,
5256,2016-05-28,,,
5257,2016-05-30,2016-06-12,,
5258,2016-05-31,,,
5259,2016-06-01,,,
5260,2016-06-03,2016-06-08,2016-06-12,2016-06-12
5261,2016-06-04,,,
5262,2016-06-05,,,
5263,2016-06-08,,,
5264,2016-06-09,,,
5265,2016-06-10,,,
5266,2016-06-12,,,
5267,2016-06-14,,,
5268,2016-06-15,,,
5269,2015-06-18,2015-07-23,2015-07-23,2015-07-23
5270,2015-06-22,2015-08-12,2015-08-12,2015-08-12
5271,2015-06-23,2015-08-08,2015-08-31,2015-09-07
5272,2015-06-24,,,
5273,2015-06-25,,,
5274,2015-06-26,,,
5275,2015-06-27,2015-08-10,2015-08-26,2015-09-09
5276,2015-06-28,2015-07-24,2015-07-29,2015-07-29
5277,2015-06-29,2015-07-28,2015-07-28,2015-07-28
5278,2015-07-01,2015-08-05,2015-08-05,2015-08-05
5279,2015-07-02,2015-08-15,2015-08-15,2015-08-15
5280,2015-07-03,,,
5281,2015-07-04,2015-08-12,2015-08-12,2015-08-12
5282,2015-07-07,,,
5283,2015-07-08,2015-08-19,2015-09-15,2015-09-16
5284,2015-07-09,2015-08-08,2015-08-08,2015-08-08
5285,2015-07-10,2015-09-03,2015-09-03,2015-09-03
5286,2015-07-12,2015-07-24,2015-07-24,2015-07-24
5287,2015-07-13,2015-08-06,2015-08-06,2015-08-06
5288,2015-07-14,,,
5289,2015-07-15,,,
5290,2015-07-16,,,
5291,2015-07-17,,,
5292,2015-07-20,2015-08-22,2015-09-10,2015-09-10
5293,2015-07-21,2015-08-19,2015-09-14,2015-09-30
5294,2015-07-22,2015-08-31,2015-08-31,2015-08-31
5295,2015-07-23,2015-08-19,2015-08-19,2015-08-19
5296,2015-07-24,,,
5297,2015-07-25,2015-08-20,2015-08-20,2015-08-20
5298,2015-07-26,2015-08-25,2015-08-31,2015-08-31
5299,2015-07-27,,,
5300,2015-07-28,2015-08-18,2015-09-07,2015-09-07
5301,2015-07-29,,,
5302,2015-07-30,,,
5303,2015-07-31,2015-08-31,2015-10-05,2015-10-06
5304,2015-08-01,,,
5305,2015-08-02,2015-10-25,2015-11-16,2015-11-30
5306,2015-08-03,2015-08-31,2015-08-31,2015-08-31
5307,2015-08-04,2015-09-07,2015-10-02,2015-10-02
5308,2015-08-05,,,
5309,2015-08-06,2015-09-06,2015-09-07,2015-09-07
5310,2015-08-07,,,
5311,2015-08-09,2015-09-12,2015-09-12,2015-09-12
5312,2015-08-12,2015-10-06,2015-10-28,2015-11-18
5313,2015-08-13,2015-08-25,2015-09-15,2015-09-15
5314,2015-08-14,,,
5315,2015-08-15,,,
5316,2015-08-16,,,
5317,2015-08-17,,,
5318,2015-08-18,2015-10-08,2015-11-13,2015-11-13
5319,2015-08-19,2015-10-14,2015-11-07,2015-11-07
5320,2015-08-21,2015-10-23,2015-10-23,2015-10-23
5321,2015-08-22,2015-10-17,2015-10-21,2015-10-21
5322,2015-08-24,,,
5323,2015-08-26,2015-10-07,2015-11-12,2015-11-12
5324,2015-08-27,2015-09-19,2015-09-19,2015-09-19
5325,2015-08-28,2015-10-01,2015-10-01,2015-10-01
5326,2015-08-29,,,
5327,2015-08-30,2015-10-04,2015-10-17,2015-11-05
5328,2015-08-31,,,
5329,2015-09-01,2015-10-14,2015-10-14,2015-10-14
5330,2015-09-02,2015-09-21,2015-10-12,2015-10-12
5331,2015-09-03,2015-10-21,2015-10-21,2015-10-21
5332,2015-09-04,,,
5333,2015-09-05,2015-10-13,2015-10-13,2015-10-13
5334,2015-09-06,,,
5335,2015-09-08,2015-10-24,2015-10-25,2015-10-25
5336,2015-09-09,,,
5337,2015-09-10,,,
5338,2015-09-11,2015-10-27,2015-10-27,2015-10-27
5339,2015-09-12,2015-10-29,2015-10-29,2015-10-29
5340,2015-09-14,,,
5341,2015-09-15,,,
5342,2015-09-16,2015-10-21,2015-11-03,2015-11-03
5343,2015-09-17,2015-10-06,2015-10-21,2015-10-21
5344,2015-09-18,2015-11-19,2015-12-28,2015-12-28
5345,2015-09-19,2015-10-22,2015-11-12,2015-11-12
5346,2015-09-21,,,
5347,2015-09-22,2015-11-11,2015-12-04,2015-12-18
5348,2015-09-23,2015-10-11,2015-10-16,2015-10-16
5349,2015-09-24,2015-11-11,2015-11-26,2015-11-26
5350,2015-09-25,2015-11-02,2015-11-14,2015-11-14
5351,2015-09-26,2015-11-01,2015-11-23,2015-12-07
5352,2015-09-27,2015-10-28,2015-11-15,2015-11-15
5353,2015-09-28,2015-10-21,2015-10-21,2015-10-21
5354,2015-09-29,,,
5355,2015-09-30,,,
